file_path,file_size,commits_count
frontend/src/ts/test/replay.ts,9060,11
frontend/src/ts/test/result.ts,31626,70
frontend/src/ts/test/shift-tracker.ts,6416,10
frontend/src/ts/test/test-config.ts,8025,30
frontend/src/ts/test/test-input.ts,9415,43
frontend/src/ts/test/test-logic.ts,42692,232
frontend/src/ts/test/test-state.ts,799,5
frontend/src/ts/test/test-stats.ts,11254,36
frontend/src/ts/test/test-timer.ts,7762,17
frontend/src/ts/test/test-ui.ts,52366,150
frontend/src/ts/test/test-words.ts,2130,8
frontend/src/ts/test/timer-progress.ts,5684,15
frontend/src/ts/test/today-tracker.ts,1342,4
frontend/src/ts/test/tts.ts,1227,5
frontend/src/ts/test/weak-spot.ts,2019,7
frontend/src/ts/test/wikipedia.ts,6084,12
frontend/src/ts/test/words-generator.ts,25273,43
frontend/src/ts/test/wordset.ts,1868,8
frontend/src/ts/types/types.d.ts,10507,98
frontend/src/ts/ui.ts,3227,28
frontend/src/ts/utils/animated-modal.ts,14479,15
frontend/src/ts/utils/arrays.ts,3661,2
frontend/src/ts/utils/async-modules.ts,872,2
frontend/src/ts/utils/colors.ts,5252,1
frontend/src/ts/utils/config.ts,505,3
frontend/src/ts/utils/date-and-time.ts,4939,1
frontend/src/ts/utils/ddr.ts,1796,1
frontend/src/ts/utils/format.ts,2775,4
frontend/src/ts/utils/generate.ts,3601,2
frontend/src/ts/utils/json-data.ts,10535,1
frontend/src/ts/utils/levels.ts,1830,2
frontend/src/ts/utils/logger.ts,1260,5
frontend/src/ts/utils/misc.ts,16946,100
frontend/src/ts/utils/numbers.ts,5725,3
frontend/src/ts/utils/search-service.ts,5314,4
frontend/src/ts/utils/skeleton.ts,882,2
frontend/src/ts/utils/strings.ts,4302,3
frontend/src/ts/utils/typing-speed-units.ts,1285,8
frontend/src/ts/utils/typo-list.ts,1990,3
frontend/src/ts/utils/url-handler.ts,6488,23
frontend/static/.well-known/security.txt,253,4
frontend/static/about/contributors.json,12207,9
frontend/static/about/supporters.json,1332,18
frontend/static/challenges/_list.json,14333,11
frontend/static/challenges/beepboop.txt,461,2
frontend/static/challenges/bees.txt,50578,1
frontend/static/challenges/crosstalk.txt,114778,1
frontend/static/challenges/episode4.txt,61458,1
frontend/static/challenges/episode5.txt,42065,1
frontend/static/challenges/episode6.txt,37171,1
frontend/static/challenges/jolly.txt,521,1
frontend/static/challenges/littlechef.txt,55068,1
frontend/static/challenges/navyseal.txt,1516,1
frontend/static/challenges/pokemon.txt,6846,1
frontend/static/challenges/rapgod.txt,7855,1
frontend/static/challenges/shrek.txt,48993,1
frontend/static/challenges/sourcecode.txt,798026,3
frontend/static/css/balloon.min.css,8114,1
frontend/static/css/slimselect.min.css,9829,1
frontend/static/fonts/_list.json,1122,10
frontend/static/funbox/_list.json,4205,16
frontend/static/funbox/backwards.css,75,1
frontend/static/funbox/choo_choo.css,202,1
frontend/static/funbox/crt.css,4012,9
frontend/static/funbox/earthquake.css,775,1
frontend/static/funbox/mirror.css,34,2
frontend/static/funbox/nausea.css,837,5
frontend/static/funbox/read_ahead.css,615,2
frontend/static/funbox/read_ahead_easy.css,381,2
frontend/static/funbox/read_ahead_hard.css,881,2
frontend/static/funbox/round_round_baby.css,315,3
frontend/static/funbox/simon_says.css,93,1
frontend/static/funbox/space_balls.css,536,4
frontend/static/funbox/tts.css,93,1
frontend/static/funbox/upside_down.css,45,3
frontend/static/images/banana.png,2639,3
frontend/static/images/carrot.png,2227,3
frontend/static/images/fav.png,1309,2
